"Educ";"Sanidad";"Pensiones";"Justicia";"Seguridad";"ServSoc";"Transp";"Obras";"Depend";"F_Sanidad";"F_CMayores";"F_Pensiones";"F_Parados";"F_Vivienda";"F_Educ";"EdadIntervalos";"P6"
"1864";"3";"3";"4";"4";"3";"4";"2";"3";"2";"3";"2";"3";"3";"3";"2";"[18,35]";"3"
"1865";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"1866";"2";"2";"2";"3";"2";"3";"3";"2";"4";"2";"2";"3";"2";"3";"3";"(50,65]";"3"
"1867";"1";"1";"1";"2";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(35,50]";"2"
"1869";"2";"2";"2";"3";"3";"2";"2";"2";"3";"1";"2";"2";"3";"2";"1";"(50,65]";"2"
"1870";"1";"3";"2";"2";"2";"3";"1";"2";"1";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"1871";"4";"4";"4";"4";"4";"3";"4";"3";"4";"3";"3";"2";"3";"3";"1";"(50,65]";"3"
"1872";"1";"1";"4";"4";"2";"4";"1";"3";"3";"1";"1";"3";"1";"3";"1";"[18,35]";"2"
"1873";"2";"3";"3";"4";"3";"2";"2";"3";"2";"1";"1";"1";"2";"1";"1";"(35,50]";"3"
"1875";"2";"2";"2";"3";"3";"1";"2";"1";"3";"2";"1";"2";"1";"2";"3";"(35,50]";"3"
"1876";"3";"2";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"2";"3";"3";"(35,50]";"2"
"1877";"2";"1";"2";"2";"2";"3";"2";"3";"3";"3";"2";"3";"2";"3";"2";"(50,65]";"3"
"1878";"3";"3";"3";"4";"3";"3";"3";"4";"3";"3";"2";"2";"1";"3";"2";"(35,50]";"3"
"1879";"3";"3";"2";"3";"2";"3";"1";"4";"4";"2";"1";"1";"1";"2";"1";"(65,96]";"2"
"1880";"3";"2";"2";"4";"2";"3";"2";"2";"3";"3";"3";"2";"2";"2";"2";"(50,65]";"2"
"1881";"2";"1";"3";"2";"3";"2";"3";"2";"3";"1";"1";"1";"1";"1";"1";"(50,65]";"2"
"1882";"2";"2";"2";"3";"1";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"2"
"1883";"1";"2";"2";"2";"2";"3";"3";"2";"3";"3";"2";"2";"3";"3";"3";"(35,50]";"2"
"1884";"3";"2";"3";"3";"2";"3";"2";"2";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"1885";"2";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"3";"2";"2";"2";"[18,35]";"2"
"1887";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"(50,65]";"3"
"1888";"3";"2";"2";"3";"2";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"(65,96]";"1"
"1890";"2";"2";"3";"3";"2";"2";"2";"2";"3";"3";"2";"3";"2";"3";"2";"(35,50]";"2"
"1891";"3";"3";"4";"3";"2";"3";"4";"3";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"1892";"2";"1";"1";"2";"2";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"(65,96]";"2"
"1893";"2";"3";"2";"2";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"1894";"3";"2";"2";"3";"3";"3";"2";"2";"3";"3";"3";"3";"2";"3";"2";"(50,65]";"2"
"1895";"3";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"1896";"3";"3";"3";"4";"3";"4";"3";"3";"3";"2";"2";"3";"3";"2";"3";"(50,65]";"3"
"1897";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"3";"1";"3";"2";"[18,35]";"3"
"1898";"2";"3";"2";"3";"3";"3";"2";"2";"3";"1";"3";"3";"3";"3";"3";"(50,65]";"3"
"1899";"1";"2";"2";"2";"2";"1";"3";"2";"4";"3";"2";"2";"2";"2";"3";"[18,35]";"3"
"1900";"1";"1";"2";"2";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(50,65]";"2"
"1902";"2";"3";"3";"3";"3";"3";"1";"1";"3";"3";"3";"3";"2";"3";"3";"[18,35]";"3"
"1903";"2";"1";"2";"1";"1";"2";"1";"1";"1";"3";"1";"3";"3";"1";"1";"(35,50]";"2"
"1904";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"1";"1";"1";"1";"2";"(50,65]";"3"
"1905";"3";"3";"3";"4";"3";"4";"2";"2";"4";"3";"3";"3";"1";"2";"2";"[18,35]";"3"
"1906";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"3";"1";"2";"3";"(65,96]";"2"
"1907";"3";"4";"3";"4";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"2"
"1908";"2";"2";"2";"4";"2";"2";"1";"2";"2";"3";"2";"3";"1";"3";"2";"(50,65]";"3"
"1910";"2";"2";"1";"3";"2";"2";"2";"2";"3";"2";"1";"2";"2";"1";"1";"(35,50]";"1"
"1911";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"2";"3";"2";"(50,65]";"2"
"1912";"2";"3";"2";"4";"2";"2";"1";"2";"3";"3";"2";"2";"2";"3";"3";"(65,96]";"3"
"1913";"2";"2";"2";"2";"3";"3";"3";"4";"3";"2";"1";"2";"2";"2";"2";"(50,65]";"3"
"1917";"3";"2";"2";"3";"2";"3";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(65,96]";"1"
"1918";"2";"3";"3";"3";"2";"3";"3";"4";"4";"3";"2";"3";"3";"2";"3";"(35,50]";"2"
"1919";"2";"2";"4";"3";"3";"3";"2";"2";"3";"3";"2";"3";"2";"3";"3";"[18,35]";"3"
"1920";"2";"2";"2";"3";"1";"2";"1";"1";"2";"1";"1";"3";"3";"3";"2";"(35,50]";"2"
"1922";"3";"3";"2";"3";"2";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"1923";"1";"3";"1";"1";"1";"1";"3";"4";"3";"1";"1";"1";"3";"2";"3";"(50,65]";"3"
"1924";"3";"3";"3";"3";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"1925";"2";"2";"3";"2";"2";"2";"2";"3";"3";"3";"1";"2";"2";"2";"1";"[18,35]";"3"
"1926";"2";"2";"2";"3";"3";"3";"2";"3";"3";"1";"2";"3";"1";"1";"1";"(50,65]";"2"
"1927";"3";"2";"2";"4";"3";"3";"1";"3";"3";"2";"3";"2";"3";"3";"3";"(50,65]";"2"
"1929";"1";"1";"1";"3";"2";"3";"2";"2";"3";"1";"1";"2";"2";"3";"2";"(35,50]";"2"
"1930";"2";"2";"2";"3";"3";"3";"2";"3";"3";"3";"2";"3";"2";"2";"3";"(35,50]";"3"
"1931";"1";"2";"1";"2";"2";"2";"2";"2";"3";"2";"1";"3";"2";"1";"2";"(50,65]";"3"
"1932";"3";"4";"4";"4";"2";"4";"2";"2";"4";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"1933";"4";"4";"3";"4";"3";"3";"4";"4";"4";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"1935";"2";"2";"3";"3";"3";"2";"2";"2";"2";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"1936";"3";"2";"2";"4";"3";"3";"3";"2";"4";"3";"3";"3";"2";"3";"3";"(65,96]";"1"
"1937";"3";"4";"4";"4";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"1938";"4";"3";"3";"2";"3";"3";"3";"3";"3";"2";"1";"3";"3";"2";"2";"(35,50]";"3"
"1939";"2";"4";"4";"4";"2";"4";"4";"4";"3";"3";"3";"2";"3";"3";"2";"(50,65]";"3"
"1941";"2";"2";"2";"3";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(65,96]";"2"
"1942";"3";"3";"2";"3";"4";"4";"3";"3";"3";"3";"3";"2";"3";"3";"3";"(35,50]";"3"
"1944";"2";"3";"2";"3";"2";"3";"2";"2";"4";"3";"2";"2";"2";"3";"3";"(35,50]";"2"
"1945";"2";"2";"2";"3";"3";"2";"2";"3";"2";"2";"2";"3";"2";"3";"2";"(65,96]";"3"
"1946";"2";"2";"2";"2";"1";"3";"3";"2";"3";"3";"2";"3";"2";"2";"3";"(35,50]";"3"
"1947";"2";"2";"3";"3";"3";"3";"2";"2";"3";"2";"2";"2";"3";"3";"3";"[18,35]";"3"
"1948";"3";"3";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"[18,35]";"3"
"1950";"3";"3";"2";"4";"3";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"1951";"2";"2";"2";"3";"2";"2";"3";"3";"3";"2";"3";"3";"2";"2";"1";"(35,50]";"2"
"1952";"1";"2";"1";"2";"1";"2";"2";"2";"3";"3";"3";"3";"1";"3";"1";"(50,65]";"2"
"1953";"2";"3";"3";"2";"1";"3";"2";"2";"3";"3";"2";"3";"2";"2";"3";"(35,50]";"3"
"1955";"1";"3";"1";"1";"2";"3";"2";"1";"3";"2";"3";"3";"3";"3";"2";"[18,35]";"2"
"1956";"2";"2";"2";"3";"2";"2";"3";"3";"2";"1";"1";"1";"1";"2";"1";"(50,65]";"2"
"1958";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"1"
"1959";"2";"2";"2";"2";"3";"3";"2";"3";"3";"2";"2";"3";"2";"3";"3";"(50,65]";"3"
"1960";"2";"2";"2";"3";"2";"2";"2";"3";"3";"3";"2";"3";"3";"3";"3";"(35,50]";"3"
"1961";"2";"2";"1";"3";"1";"2";"3";"2";"3";"2";"1";"1";"1";"2";"1";"(35,50]";"1"
"1962";"3";"3";"2";"3";"3";"3";"1";"4";"3";"1";"1";"1";"2";"1";"1";"(50,65]";"3"
"1963";"2";"1";"3";"3";"3";"3";"1";"3";"3";"2";"1";"2";"2";"3";"2";"(35,50]";"3"
"1964";"2";"2";"2";"2";"3";"2";"2";"3";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"3"
"1966";"2";"3";"3";"3";"3";"2";"3";"3";"3";"3";"1";"2";"3";"3";"1";"(35,50]";"3"
"1967";"2";"2";"3";"2";"3";"3";"2";"3";"3";"2";"3";"3";"2";"3";"2";"[18,35]";"3"
"1968";"2";"3";"3";"3";"3";"3";"3";"2";"4";"3";"2";"3";"2";"3";"3";"[18,35]";"3"
"1969";"2";"1";"3";"3";"2";"2";"1";"3";"2";"2";"3";"3";"2";"3";"2";"(65,96]";"3"
"1970";"2";"2";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"1";"3";"3";"(35,50]";"1"
"1971";"2";"3";"2";"3";"2";"3";"2";"3";"2";"2";"2";"1";"2";"3";"1";"(50,65]";"2"
"1972";"2";"3";"2";"3";"3";"3";"2";"2";"2";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"1973";"2";"3";"2";"4";"3";"4";"2";"3";"4";"2";"3";"3";"3";"3";"2";"(35,50]";"3"
"1974";"2";"3";"3";"3";"2";"3";"2";"3";"3";"2";"2";"3";"3";"3";"2";"(50,65]";"3"
"1975";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"2";"3";"2";"3";"2";"(35,50]";"2"
"1976";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"2";"3";"3";"3";"2";"(65,96]";"2"
"1978";"2";"2";"3";"3";"3";"1";"2";"3";"3";"3";"3";"3";"3";"3";"2";"[18,35]";"3"
"1979";"2";"2";"2";"3";"2";"2";"3";"2";"3";"1";"2";"2";"2";"1";"1";"(50,65]";"2"
"1981";"1";"1";"1";"1";"1";"1";"3";"2";"1";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"1982";"3";"2";"2";"3";"2";"2";"3";"2";"3";"1";"1";"1";"1";"1";"1";"(50,65]";"3"
"1983";"3";"3";"1";"4";"2";"3";"3";"2";"2";"2";"1";"3";"3";"1";"3";"[18,35]";"3"
"1985";"3";"2";"3";"3";"2";"3";"1";"3";"3";"2";"3";"3";"2";"2";"3";"(50,65]";"3"
"1986";"1";"3";"1";"2";"1";"3";"2";"2";"3";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"1989";"3";"3";"3";"4";"3";"2";"3";"3";"4";"3";"3";"3";"3";"2";"3";"(35,50]";"3"
"1990";"2";"3";"3";"2";"4";"2";"1";"2";"4";"1";"3";"2";"1";"2";"1";"[18,35]";"3"
"1992";"3";"3";"4";"3";"4";"3";"4";"3";"3";"1";"1";"1";"1";"3";"1";"(50,65]";"3"
"1993";"3";"4";"4";"4";"1";"4";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"1994";"2";"3";"2";"3";"3";"2";"2";"3";"3";"3";"2";"3";"3";"3";"2";"(35,50]";"3"
"1995";"2";"3";"2";"3";"1";"3";"3";"2";"3";"2";"3";"3";"1";"3";"1";"(50,65]";"3"
"1996";"2";"2";"2";"3";"3";"3";"2";"3";"2";"3";"3";"3";"2";"3";"3";"(50,65]";"3"
"1997";"2";"2";"2";"3";"2";"2";"2";"3";"2";"2";"2";"3";"1";"3";"2";"[18,35]";"3"
"1999";"3";"2";"3";"4";"2";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"2000";"1";"1";"2";"3";"3";"2";"1";"3";"3";"2";"2";"3";"3";"3";"3";"(35,50]";"3"
"2001";"2";"1";"2";"3";"2";"2";"2";"3";"1";"3";"3";"3";"3";"3";"3";"[18,35]";"2"
"2002";"3";"2";"2";"3";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"2003";"3";"3";"4";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"2005";"3";"2";"2";"3";"3";"3";"3";"3";"2";"2";"3";"2";"3";"3";"2";"[18,35]";"3"
"2006";"1";"1";"3";"3";"1";"4";"4";"3";"3";"1";"1";"2";"1";"3";"1";"(50,65]";"3"
"2008";"2";"1";"3";"2";"3";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"(65,96]";"2"
"2009";"2";"2";"1";"3";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"(50,65]";"1"
"2010";"3";"3";"2";"3";"2";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"1"
"2011";"1";"1";"1";"2";"1";"1";"1";"1";"2";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"2013";"2";"1";"2";"3";"1";"2";"2";"3";"3";"2";"1";"3";"2";"1";"2";"(35,50]";"3"
"2014";"2";"3";"3";"2";"2";"3";"2";"2";"3";"3";"3";"3";"2";"2";"2";"(35,50]";"3"
"2015";"2";"2";"3";"3";"2";"3";"2";"3";"3";"3";"3";"3";"1";"3";"3";"(35,50]";"3"
"2016";"2";"4";"3";"3";"3";"3";"2";"3";"2";"3";"2";"3";"3";"3";"3";"(50,65]";"3"
"2017";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"(35,50]";"3"
"2018";"2";"2";"2";"3";"3";"3";"2";"2";"2";"3";"3";"2";"2";"3";"2";"(50,65]";"3"
"2019";"2";"4";"3";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"2020";"1";"1";"1";"2";"3";"2";"3";"3";"3";"1";"2";"3";"1";"1";"1";"(50,65]";"3"
"2021";"2";"3";"3";"4";"3";"3";"3";"3";"4";"2";"3";"3";"3";"3";"3";"(65,96]";"3"
"2022";"3";"4";"4";"3";"3";"3";"4";"4";"3";"3";"2";"3";"3";"3";"3";"[18,35]";"3"
"2024";"1";"1";"1";"1";"3";"3";"1";"1";"3";"1";"1";"2";"1";"1";"1";"(50,65]";"3"
"2025";"2";"1";"2";"3";"2";"1";"1";"2";"2";"2";"2";"3";"2";"3";"1";"[18,35]";"1"
"2026";"4";"4";"2";"2";"2";"4";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"1"
"2027";"3";"2";"3";"4";"3";"3";"1";"3";"3";"2";"1";"1";"1";"2";"2";"(65,96]";"3"
"2028";"2";"3";"3";"2";"3";"3";"2";"3";"3";"2";"3";"3";"3";"2";"2";"(50,65]";"2"
"2029";"3";"3";"3";"2";"2";"3";"1";"4";"4";"3";"2";"2";"3";"3";"2";"[18,35]";"2"
"2030";"2";"3";"2";"3";"2";"3";"3";"3";"3";"3";"1";"3";"2";"2";"2";"(65,96]";"2"
"2031";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"2";"(50,65]";"2"
"2032";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"2033";"3";"3";"3";"3";"3";"3";"3";"3";"3";"1";"1";"1";"1";"1";"1";"(50,65]";"3"
"2034";"2";"3";"4";"3";"1";"3";"1";"3";"3";"1";"1";"3";"3";"3";"1";"[18,35]";"3"
"2035";"3";"2";"2";"1";"1";"1";"1";"1";"3";"3";"1";"1";"1";"2";"1";"(35,50]";"1"
"2036";"2";"3";"2";"3";"3";"3";"2";"2";"2";"3";"2";"3";"3";"3";"2";"[18,35]";"3"
"2037";"2";"3";"4";"3";"3";"3";"2";"4";"3";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"2038";"3";"3";"2";"3";"2";"3";"2";"2";"3";"2";"3";"2";"2";"2";"3";"(65,96]";"2"
"2039";"2";"1";"2";"3";"2";"3";"2";"2";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"2"
"2040";"2";"2";"3";"3";"3";"3";"2";"2";"3";"3";"1";"3";"3";"3";"1";"(50,65]";"2"
"2041";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"[18,35]";"3"
"2043";"4";"4";"2";"4";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"2044";"2";"3";"2";"3";"2";"3";"1";"2";"3";"3";"1";"3";"2";"3";"1";"(35,50]";"3"
"2045";"3";"4";"4";"4";"3";"4";"3";"3";"3";"3";"2";"3";"3";"3";"3";"(35,50]";"3"
"2046";"2";"2";"2";"2";"2";"2";"2";"3";"3";"1";"2";"3";"2";"1";"1";"(35,50]";"3"
"2047";"2";"3";"2";"3";"2";"2";"2";"3";"2";"3";"1";"3";"1";"3";"3";"(35,50]";"2"
"2048";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"1";"2";"2";"3";"2";"(65,96]";"3"
"2049";"2";"2";"2";"3";"2";"3";"2";"2";"2";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"2051";"3";"3";"2";"4";"2";"2";"2";"2";"2";"3";"2";"2";"3";"3";"3";"(65,96]";"3"
"2052";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"2";"2";"2";"(65,96]";"3"
"2053";"2";"1";"2";"3";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"(65,96]";"2"
"2054";"2";"3";"4";"3";"2";"2";"3";"3";"2";"2";"1";"3";"3";"3";"3";"[18,35]";"3"
"2055";"3";"2";"4";"3";"3";"3";"2";"3";"3";"3";"3";"3";"2";"3";"2";"(35,50]";"3"
"2056";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"3";"2";"2";"2";"(65,96]";"2"
"2057";"4";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"2058";"3";"3";"2";"3";"3";"3";"3";"2";"3";"3";"1";"3";"1";"3";"3";"(35,50]";"1"
"2060";"2";"2";"2";"3";"2";"1";"2";"1";"2";"2";"2";"3";"2";"3";"2";"[18,35]";"2"
"2061";"1";"2";"1";"2";"2";"2";"2";"1";"3";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"2062";"1";"1";"1";"2";"1";"2";"1";"2";"4";"2";"3";"3";"3";"3";"2";"(35,50]";"3"
"2064";"1";"3";"1";"1";"1";"1";"1";"1";"3";"3";"3";"3";"3";"3";"1";"(35,50]";"2"
"2066";"2";"2";"2";"2";"2";"3";"2";"2";"1";"1";"2";"1";"1";"1";"1";"(65,96]";"2"
"2069";"2";"2";"2";"3";"1";"2";"2";"2";"3";"3";"3";"3";"3";"3";"2";"(50,65]";"3"
"2070";"4";"2";"1";"2";"2";"1";"2";"2";"4";"2";"2";"2";"3";"3";"2";"(35,50]";"3"
"2071";"2";"1";"2";"4";"2";"2";"2";"2";"3";"2";"2";"3";"2";"3";"2";"(50,65]";"1"
"2072";"3";"3";"4";"4";"4";"3";"2";"3";"3";"2";"2";"3";"2";"1";"1";"[18,35]";"2"
"2073";"3";"2";"2";"2";"2";"2";"3";"2";"3";"3";"2";"3";"3";"2";"3";"(50,65]";"1"
"2074";"3";"2";"2";"3";"3";"2";"2";"3";"2";"2";"2";"2";"2";"3";"2";"(65,96]";"3"
"2075";"2";"2";"3";"3";"3";"3";"2";"3";"3";"1";"2";"3";"1";"1";"2";"[18,35]";"3"
"2078";"2";"2";"3";"3";"2";"3";"2";"2";"2";"2";"2";"3";"3";"3";"3";"[18,35]";"3"
"2079";"3";"3";"2";"3";"2";"3";"3";"3";"3";"2";"2";"3";"2";"3";"1";"(65,96]";"3"
"2080";"2";"2";"1";"3";"2";"2";"3";"2";"2";"2";"1";"2";"2";"3";"2";"(50,65]";"3"
"2081";"2";"2";"2";"3";"2";"3";"3";"2";"4";"3";"3";"3";"2";"3";"2";"[18,35]";"2"
"2082";"2";"4";"3";"4";"3";"4";"3";"2";"4";"3";"2";"3";"3";"3";"2";"[18,35]";"3"
"2084";"2";"3";"3";"3";"2";"2";"2";"2";"3";"3";"2";"3";"3";"3";"3";"(50,65]";"2"
"2085";"2";"1";"3";"2";"3";"2";"3";"3";"2";"1";"2";"2";"3";"1";"1";"[18,35]";"1"
"2086";"2";"2";"1";"2";"3";"2";"3";"3";"3";"3";"3";"3";"2";"3";"2";"(65,96]";"3"
"2089";"3";"2";"3";"3";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"2090";"2";"2";"3";"3";"2";"2";"2";"3";"2";"1";"1";"2";"2";"3";"1";"(50,65]";"3"
"2091";"2";"2";"2";"2";"3";"2";"3";"3";"2";"1";"1";"1";"1";"1";"1";"(50,65]";"1"
"2093";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"(50,65]";"3"
"2094";"3";"4";"2";"4";"4";"4";"2";"3";"2";"2";"2";"2";"3";"3";"1";"(50,65]";"3"
"2095";"2";"1";"2";"2";"3";"2";"1";"2";"3";"2";"3";"3";"3";"2";"2";"(65,96]";"2"
"2096";"3";"3";"3";"3";"3";"3";"1";"3";"3";"3";"3";"2";"3";"3";"3";"(65,96]";"2"
"2097";"3";"3";"2";"4";"2";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"2099";"3";"2";"3";"3";"3";"4";"3";"3";"4";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"2100";"4";"2";"2";"3";"3";"3";"3";"3";"3";"1";"3";"3";"1";"3";"3";"(35,50]";"3"
"2103";"2";"2";"2";"2";"2";"2";"3";"2";"2";"3";"1";"1";"2";"3";"2";"(35,50]";"2"
"2104";"2";"2";"2";"3";"2";"2";"2";"3";"4";"3";"2";"3";"3";"3";"3";"(50,65]";"3"
"2105";"3";"2";"3";"1";"1";"2";"2";"3";"3";"2";"2";"3";"3";"3";"2";"(35,50]";"3"
"2106";"1";"2";"3";"2";"1";"3";"1";"3";"3";"1";"1";"3";"2";"2";"1";"[18,35]";"3"
"2107";"2";"3";"2";"2";"2";"3";"2";"1";"3";"2";"3";"2";"1";"2";"2";"(65,96]";"2"
"2108";"2";"2";"2";"2";"2";"1";"1";"1";"2";"2";"1";"2";"3";"2";"1";"(35,50]";"3"
"2109";"3";"3";"3";"4";"1";"3";"4";"3";"4";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"2110";"3";"3";"2";"3";"2";"3";"3";"2";"3";"3";"2";"3";"3";"3";"2";"(35,50]";"2"
"2111";"2";"2";"2";"3";"3";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"(50,65]";"1"
"2114";"1";"1";"1";"1";"2";"2";"1";"1";"2";"2";"1";"1";"1";"1";"2";"(65,96]";"1"
"2115";"3";"2";"3";"2";"1";"2";"3";"2";"2";"2";"1";"3";"2";"3";"1";"(35,50]";"2"
"2116";"1";"3";"2";"3";"2";"2";"3";"2";"3";"3";"2";"3";"2";"3";"3";"[18,35]";"3"
"2117";"3";"2";"2";"3";"2";"2";"3";"3";"2";"3";"2";"3";"2";"3";"3";"[18,35]";"3"
"2120";"2";"2";"3";"4";"4";"3";"3";"3";"4";"3";"3";"2";"3";"3";"3";"(35,50]";"3"
"2122";"2";"1";"1";"2";"2";"3";"2";"2";"3";"2";"2";"3";"3";"2";"2";"(65,96]";"2"
"2123";"2";"2";"2";"3";"2";"3";"3";"2";"3";"3";"3";"2";"1";"3";"2";"(65,96]";"3"
"2124";"2";"2";"2";"3";"2";"3";"2";"3";"3";"2";"1";"3";"2";"3";"2";"(50,65]";"3"
"2125";"2";"1";"2";"1";"3";"2";"1";"2";"3";"2";"2";"2";"2";"3";"2";"(50,65]";"3"
"2126";"2";"3";"3";"3";"1";"2";"2";"4";"2";"2";"2";"3";"2";"3";"2";"[18,35]";"3"
"2127";"2";"2";"2";"3";"3";"2";"2";"3";"2";"3";"2";"3";"2";"3";"2";"(65,96]";"3"
"2128";"3";"3";"3";"3";"4";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"2129";"2";"1";"3";"2";"2";"2";"2";"2";"3";"3";"3";"3";"2";"3";"1";"[18,35]";"3"
"2130";"2";"2";"3";"2";"2";"3";"3";"3";"3";"3";"3";"3";"2";"1";"2";"[18,35]";"3"
"2133";"1";"1";"2";"3";"2";"2";"2";"2";"3";"3";"2";"3";"2";"2";"2";"(50,65]";"2"
"2134";"2";"2";"2";"1";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"1";"(65,96]";"2"
"2135";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"2138";"3";"3";"4";"4";"3";"2";"2";"4";"4";"1";"3";"2";"2";"1";"2";"[18,35]";"3"
"2139";"2";"2";"3";"3";"2";"2";"1";"1";"2";"3";"1";"1";"3";"3";"3";"[18,35]";"3"
"2140";"3";"3";"2";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"2141";"2";"2";"1";"3";"4";"2";"3";"3";"2";"2";"1";"3";"2";"3";"2";"(50,65]";"3"
"2142";"2";"2";"3";"2";"2";"2";"2";"3";"2";"3";"1";"3";"2";"1";"2";"[18,35]";"2"
"2143";"2";"3";"2";"3";"2";"3";"2";"2";"3";"3";"3";"2";"2";"3";"3";"(35,50]";"1"
"2144";"2";"4";"3";"4";"2";"2";"4";"4";"4";"1";"1";"1";"2";"2";"1";"(65,96]";"3"
"2145";"3";"4";"4";"4";"4";"1";"2";"4";"4";"3";"3";"3";"1";"3";"3";"(35,50]";"3"
"2146";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"3";"1";"2";"3";"3";"(65,96]";"3"
"2147";"4";"4";"3";"4";"4";"4";"4";"4";"3";"3";"2";"3";"3";"3";"3";"(50,65]";"3"
"2148";"2";"3";"3";"2";"2";"3";"2";"3";"3";"2";"2";"2";"2";"2";"2";"(50,65]";"3"
