"Educ";"Sanidad";"Pensiones";"Justicia";"Seguridad";"ServSoc";"Transp";"Obras";"Depend";"F_Sanidad";"F_CMayores";"F_Pensiones";"F_Parados";"F_Vivienda";"F_Educ";"EdadIntervalos";"P6"
"121";"2";"1";"1";"2";"1";"1";"2";"2";"3";"2";"1";"2";"2";"2";"1";"(50,65]";"2"
"122";"3";"4";"4";"2";"2";"4";"4";"3";"4";"1";"1";"2";"1";"1";"2";"(50,65]";"3"
"124";"2";"2";"1";"3";"3";"1";"1";"1";"1";"1";"1";"1";"3";"3";"3";"[18,35]";"2"
"125";"3";"2";"2";"4";"2";"1";"1";"2";"2";"2";"1";"2";"2";"2";"2";"(35,50]";"2"
"127";"2";"4";"2";"4";"2";"3";"2";"3";"2";"2";"3";"2";"2";"2";"2";"(35,50]";"3"
"128";"2";"3";"2";"3";"2";"3";"2";"1";"3";"3";"1";"3";"2";"1";"3";"(50,65]";"2"
"129";"1";"1";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"[18,35]";"1"
"131";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"[18,35]";"2"
"132";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"(50,65]";"2"
"133";"2";"2";"2";"2";"2";"3";"2";"2";"3";"2";"3";"2";"1";"1";"1";"(35,50]";"3"
"134";"2";"2";"2";"3";"3";"2";"3";"3";"3";"2";"3";"2";"1";"3";"3";"(50,65]";"1"
"135";"1";"1";"2";"2";"1";"1";"2";"1";"2";"2";"1";"1";"2";"3";"3";"[18,35]";"2"
"136";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"2";"3";"2";"2";"2";"(65,96]";"2"
"137";"4";"4";"3";"4";"4";"4";"3";"3";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"138";"3";"3";"4";"4";"4";"3";"2";"3";"4";"3";"3";"3";"3";"3";"2";"(50,65]";"3"
"139";"2";"2";"2";"4";"2";"4";"3";"3";"3";"1";"1";"1";"1";"1";"1";"(65,96]";"2"
"140";"2";"1";"1";"3";"3";"3";"2";"2";"2";"1";"1";"3";"2";"3";"1";"(35,50]";"2"
"141";"3";"2";"2";"3";"1";"2";"2";"3";"2";"3";"3";"3";"2";"3";"3";"[18,35]";"2"
"143";"2";"4";"4";"3";"3";"2";"2";"2";"2";"3";"1";"3";"2";"3";"2";"[18,35]";"3"
"144";"2";"3";"3";"3";"3";"3";"3";"3";"3";"2";"1";"3";"3";"3";"3";"(50,65]";"3"
"146";"2";"2";"3";"2";"3";"2";"1";"2";"2";"2";"1";"3";"2";"2";"2";"[18,35]";"3"
"147";"2";"2";"2";"3";"1";"3";"3";"2";"4";"2";"1";"1";"2";"2";"1";"(50,65]";"1"
"148";"3";"2";"2";"3";"2";"3";"3";"2";"3";"2";"2";"3";"3";"3";"2";"(50,65]";"1"
"149";"1";"2";"3";"3";"3";"1";"1";"3";"2";"3";"3";"3";"3";"3";"1";"(35,50]";"3"
"150";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"[18,35]";"3"
"151";"2";"4";"2";"2";"2";"3";"3";"4";"2";"2";"3";"3";"1";"3";"3";"[18,35]";"3"
"152";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"154";"3";"3";"4";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"155";"3";"4";"4";"3";"2";"3";"4";"3";"4";"3";"3";"3";"3";"2";"3";"(50,65]";"3"
"156";"2";"3";"1";"2";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(65,96]";"2"
"157";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"1";"(50,65]";"2"
"158";"3";"3";"3";"4";"2";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"159";"2";"3";"1";"3";"3";"3";"3";"3";"3";"3";"2";"1";"2";"3";"2";"(35,50]";"3"
"162";"2";"2";"3";"2";"3";"2";"3";"2";"2";"3";"2";"3";"2";"2";"3";"[18,35]";"3"
"163";"3";"3";"3";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"164";"2";"3";"3";"3";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"165";"3";"2";"2";"4";"2";"2";"2";"3";"2";"3";"2";"2";"2";"3";"3";"[18,35]";"2"
"166";"3";"2";"2";"3";"2";"3";"3";"3";"3";"2";"3";"2";"2";"3";"3";"(65,96]";"1"
"167";"2";"2";"3";"3";"3";"3";"2";"3";"3";"1";"2";"1";"2";"2";"1";"(50,65]";"3"
"168";"3";"3";"3";"3";"2";"3";"2";"4";"3";"3";"3";"3";"3";"2";"2";"(35,50]";"2"
"169";"1";"4";"1";"1";"4";"3";"1";"1";"3";"2";"1";"2";"3";"3";"2";"(50,65]";"2"
"170";"1";"3";"2";"3";"2";"2";"3";"1";"3";"2";"2";"2";"2";"2";"1";"(65,96]";"2"
"171";"3";"2";"3";"3";"4";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"172";"4";"3";"3";"4";"4";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"174";"3";"3";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"2";"2";"3";"(50,65]";"3"
"175";"3";"3";"3";"3";"3";"3";"2";"2";"3";"3";"2";"3";"2";"3";"2";"[18,35]";"3"
"176";"4";"4";"3";"4";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"1"
"177";"2";"3";"3";"3";"3";"2";"2";"2";"3";"2";"2";"2";"3";"3";"2";"(35,50]";"3"
"179";"3";"2";"2";"2";"2";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(65,96]";"2"
"182";"2";"4";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"2";"(35,50]";"3"
"183";"3";"3";"2";"2";"3";"3";"2";"3";"3";"3";"3";"2";"2";"3";"3";"(65,96]";"3"
"184";"2";"2";"2";"3";"1";"3";"1";"1";"3";"3";"2";"2";"2";"3";"3";"(35,50]";"1"
"186";"2";"2";"1";"3";"2";"2";"2";"2";"2";"3";"2";"3";"3";"3";"3";"(65,96]";"2"
"187";"2";"3";"3";"3";"3";"3";"1";"2";"3";"3";"1";"3";"2";"1";"1";"[18,35]";"2"
"188";"2";"2";"1";"3";"1";"1";"2";"1";"2";"3";"2";"2";"1";"3";"2";"(35,50]";"1"
"189";"3";"1";"1";"3";"1";"1";"1";"1";"2";"2";"3";"3";"3";"3";"3";"(50,65]";"2"
"190";"1";"1";"1";"3";"2";"2";"1";"2";"1";"1";"1";"1";"1";"2";"1";"(50,65]";"2"
"192";"2";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"193";"2";"4";"3";"4";"2";"2";"4";"2";"3";"1";"3";"3";"3";"3";"1";"(35,50]";"3"
"194";"3";"2";"2";"2";"4";"3";"2";"3";"2";"2";"2";"3";"1";"1";"3";"[18,35]";"3"
"197";"3";"3";"3";"3";"3";"3";"2";"3";"3";"2";"2";"3";"3";"3";"3";"[18,35]";"2"
"198";"2";"3";"2";"4";"4";"2";"2";"2";"3";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"201";"2";"2";"3";"3";"2";"3";"3";"3";"4";"2";"3";"3";"2";"3";"3";"(35,50]";"3"
